Node1,Node2,Latitude1,Longitude1,Latitude2,Longitude2
Julia's Jungle Dog & Cat Board,Sanctuary Restoration Cottage,47.6582204,-117.2347996,47.5752627,-117.3204147
Sanctuary Restoration Cottage,Fairfield Inn & Suites by Marriott Spokane Downtown,47.5752627,-117.3204147,47.6607845,-117.4098711
Sanctuary Restoration Cottage,Spokane,47.5752627,-117.3204147,47.6579711,-117.4235319
Intergis Contracting Inc,Fairfield Inn & Suites by Marriott Spokane Downtown,47.5888029,-117.3272224,47.6607845,-117.4098711
Intergis Contracting Inc,Spokane,47.5888029,-117.3272224,47.6579711,-117.4235319
"Nicholas P. Wissink, OD",Spokane,47.741283,-117.4021575,47.6579711,-117.4235319
Rusty Moose,Chester,47.6424836,-117.5389273,47.61795039999999,-117.2504837
Spokane,Chester,47.6579711,-117.4235319,47.61795039999999,-117.2504837
Elements Massage,Chester,47.7696991,-117.4079942,47.61795039999999,-117.2504837
Adam Juviler MD,Chester,47.747772,-117.3950005,47.61795039999999,-117.2504837
WinCo Foods,Chester,47.7411281,-117.3990892,47.61795039999999,-117.2504837
Hastings Park & Ride,Chester,47.7689437,-117.4072799,47.61795039999999,-117.2504837
Fairfield Inn & Suites by Marriott Spokane Downtown,Chester,47.6607845,-117.4098711,47.61795039999999,-117.2504837
Sweet Water Farms,Chester,47.5604489,-117.517947,47.61795039999999,-117.2504837
Acton Joseph MD,Chester,47.670756,-117.235524,47.61795039999999,-117.2504837
Valley Hospital-Med Center-Rdlgy: Mafera James MD,Chester,47.6708079,-117.2364029,47.61795039999999,-117.2504837
Sweet Water Farms,Mainstream-Mindfulness,47.5604489,-117.517947,47.6115876,-117.2837022
Sweet Water Farms,ConnectPoint Church,47.5604489,-117.517947,47.602773,-117.3579848
Sweet Water Farms,Dehaven Charlene M MD,47.5604489,-117.517947,47.670756,-117.235524
Acton Joseph MD,"Saunders Cable, Inc.",47.670756,-117.235524,47.57142380000001,-117.5142543
Valley Hospital-Med Center-Rdlgy: Mafera James MD,"Saunders Cable, Inc.",47.6708079,-117.2364029,47.57142380000001,-117.5142543
Sweet Water Farms,Quella Alicia K,47.5604489,-117.517947,47.670756,-117.235524
Acton Joseph MD,Sweet Water Farms,47.670756,-117.235524,47.5604489,-117.517947
Valley Hospital-Med Center-Rdlgy: Mafera James MD,Sweet Water Farms,47.6708079,-117.2364029,47.5604489,-117.517947
Elements Massage,Dehaven Charlene M MD,47.7696991,-117.4079942,47.670756,-117.235524
Elements Massage,Quella Alicia K,47.7696991,-117.4079942,47.670756,-117.235524
Valley Hospital-Med Center-Rdlgy: Mafera James MD,Elements Massage,47.6708079,-117.2364029,47.7696991,-117.4079942
Valley Hospital-Med Center-Rdlgy: Mafera James MD,Hastings Park & Ride,47.6708079,-117.2364029,47.7689437,-117.4072799
Hastings Park & Ride,Dehaven Charlene M MD,47.7689437,-117.4072799,47.670756,-117.235524
WinCo Foods,Dehaven Charlene M MD,47.7411281,-117.3990892,47.670756,-117.235524
WinCo Foods,Quella Alicia K,47.7411281,-117.3990892,47.670756,-117.235524
Acton Joseph MD,"Nicholas P. Wissink, OD",47.670756,-117.235524,47.741283,-117.4021575
Acton Joseph MD,WinCo Foods,47.670756,-117.235524,47.7411281,-117.3990892
Valley Hospital-Med Center-Rdlgy: Mafera James MD,"Nicholas P. Wissink, OD",47.6708079,-117.2364029,47.741283,-117.4021575
Valley Hospital-Med Center-Rdlgy: Mafera James MD,Adam Juviler MD,47.6708079,-117.2364029,47.747772,-117.3950005
Adam Juviler MD,Dehaven Charlene M MD,47.747772,-117.3950005,47.670756,-117.235524
Hastings Park & Ride,Quella Alicia K,47.7689437,-117.4072799,47.670756,-117.235524
Valley Hospital-Med Center-Rdlgy: Mafera James MD,WinCo Foods,47.6708079,-117.2364029,47.7411281,-117.3990892
Adam Juviler MD,Quella Alicia K,47.747772,-117.3950005,47.670756,-117.235524
Acton Joseph MD,Elements Massage,47.670756,-117.235524,47.7696991,-117.4079942
Acton Joseph MD,Hastings Park & Ride,47.670756,-117.235524,47.7689437,-117.4072799
Acton Joseph MD,Adam Juviler MD,47.670756,-117.235524,47.747772,-117.3950005
Acton Joseph MD,Torrid,47.670756,-117.235524,47.703049,-117.409823
Rusty Moose,Torrid,47.6424836,-117.5389273,47.703049,-117.409823
Sweet Water Farms,Torrid,47.5604489,-117.517947,47.703049,-117.409823
Spokane,Torrid,47.6579711,-117.4235319,47.703049,-117.409823
Fairfield Inn & Suites by Marriott Spokane Downtown,Torrid,47.6607845,-117.4098711,47.703049,-117.409823
Valley Hospital-Med Center-Rdlgy: Mafera James MD,Torrid,47.6708079,-117.2364029,47.703049,-117.409823
Adam Juviler MD,Torrid,47.747772,-117.3950005,47.703049,-117.409823
Hastings Park & Ride,Torrid,47.7689437,-117.4072799,47.703049,-117.409823
WinCo Foods,Torrid,47.7411281,-117.3990892,47.703049,-117.409823
Elements Massage,Torrid,47.7696991,-117.4079942,47.703049,-117.409823
